"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value"
"CHEMBL9352";"NARINGENIN";"None";"272.26";"0";"2.51";"Naringenin";"O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21";"IC50";"'='";"2.9";"nM";"8.54";"";"";"UO_0000065";"31.36";"0.58";"6.03";"9.81";"0";"CHEMBL1105634";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157768";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";""
"CHEMBL196796";"";"None";"230.27";"0";"3.77";"8";"N#Cc1ccc2cc(-c3cccnc3)ccc2c1";"IC50";"'>'";"36000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL880272";"Inhibitory concentration against human placental cytochrome P450 19A1 using [1-beta-3H]-androstenedione as substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141125";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";""
"CHEMBL1728910";"";"None";"221.22";"0";"2.62";"8";"N#Cc1ccc(Oc2cccnc2)cc1C#N";"Inhibition";"'='";"27.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1958524";"Inhibition of human aromatase coexpressed with P450 reductase at 1 uM by fluorimetry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1955805";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";""
"CHEMBL168762";"";"None";"254.29";"0";"1.96";"7";"O=C1c2ccccc2CCC1C(O)c1ccnnc1";"IC50";"'>'";"250000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL666792";"In vitro inhibitory activity against Cytochrome P450 19A1 using human placental microsomes.";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129578";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL41761";"";"None";"319.38";"0";"4.63";"33";"CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21";"RP";"'='";"451.2";"";"";"";"";"";"";"";"";"";"0";"CHEMBL848265";"Relative potency against aromatase, cytochrome P450 19A1 compared to aminoglutethimde (IC50 of AG = 18.5 uM)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131917";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL324070";"";"None";"427.53";"1";"5.02";"21";"Cc1ccc(S(=O)(=O)n2cc(C(c3ccccc3)n3ccnc3)c3ccccc32)cc1";"IC50";"'='";"5400.0";"nM";"5.27";"";"";"UO_0000065";"12.32";"0.23";"0.25";"9.26";"0";"CHEMBL661700";"In vitro inhibition of human Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131917";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1999";"None";"";"";""
"CHEMBL3349940";"";"None";"473.48";"1";"6.62";"10";"C[C@]12CCC(=O)C=C1C[C@@H](Sc1ccc(Br)cc1)[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"Inhibition";"'='";"80.83";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL661757";"Inhibition of Cytochrome P450 19A1 at 1.25 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123018";"1";"Scientific Literature";"J Med Chem";"1985";"None";"";"";""
"CHEMBL1285";"P-HYDROXYGLUTETHIMIDE";"None";"233.27";"0";"1.48";"18";"CCC1(c2ccc(O)cc2)CCC(=O)NC1=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL661755";"Inhibition of human placental aromatase Cytochrome P450 19A1; none";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1122309";"1";"Scientific Literature";"J Med Chem";"1983";"None";"";"";""
"CHEMBL424330";"";"None";"248.28";"0";"1.06";"21";"CCC1(c2ccc(O)c(N)c2)CCC(=O)NC1=O";"Inhibition";"";"";"%";"";"";"Not Active";"UO_0000187";"";"";"";"";"0";"CHEMBL661755";"Inhibition of human placental aromatase Cytochrome P450 19A1; none";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1122309";"1";"Scientific Literature";"J Med Chem";"1983";"None";"";"";""
"CHEMBL40432";"";"None";"366.95";"1";"5.34";"14";"C[C@]12CCC(=O)C(SCCl)=C1CCC1C2CC[C@]2(C)C(=O)CCC12";"Activity";"'='";"10.2";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL666312";"Percent cytochrome P450 19A1 activity remaining after 10 minute pretreatment with 1 uM androstenedione";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125454";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";""
"CHEMBL357775";"";"None";"204.23";"0";"0.74";"5";"CN1C(=O)CC(c2ccc(N)cc2)C1=O";"Ki";"'='";"1750.0";"nM";"5.76";"";"";"UO_0000065";"28.19";"0.52";"5.02";"9.08";"0";"CHEMBL664409";"Inhibition of Cytochrome P450 19A1 against testosterone at 1.5 uM (Km=0.13 uM)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123156";"1";"Scientific Literature";"J Med Chem";"1986";"None";"";"";""
"CHEMBL189472";"";"None";"348.36";"0";"3.66";"2b";"COc1ccc(-c2c(-n3ccnc3)oc3cc(OC)ccc3c2=O)cc1";"IC50";"'='";"1949844599758.04";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL836231";"Inhibitory concentration against human placental aromatase by deutirium oxide release";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139571";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";""
"CHEMBL189472";"";"None";"348.36";"0";"3.66";"2b";"COc1ccc(-c2c(-n3ccnc3)oc3cc(OC)ccc3c2=O)cc1";"Ratio";"'='";"18.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL829271";"Ratio of apparent Ki and Km for human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139571";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";""
"CHEMBL189274";"";"None";"424.46";"1";"5.23";"2d";"COc1ccc(-c2c(-n3ccnc3)oc3cc(OCc4ccccc4)ccc3c2=O)cc1";"Ki";"'='";"4400.0";"nM";"5.36";"";"";"UO_0000065";"12.62";"0.23";"0.13";"8.06";"0";"CHEMBL834977";"Inhibitory constant against human placental atomatase at pH 7.0 and 37 degree C";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139571";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";""
"CHEMBL190848";"";"None";"364.43";"0";"4.35";"3c";"COc1ccc2c(=O)c(-c3ccccc3)c(Sc3nccn3C)oc2c1";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL831140";"Inhibitory concentration against human placental aromatase by deutirium oxide release";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139571";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";""
"CHEMBL2011178";"";"None";"300.36";"0";"4.71";"1i, 4'-phenylisoflavanone";"O=C1c2ccccc2OCC1c1ccc(-c2ccccc2)cc1";"IC50";"";"";"";"";"";"Not Active";"";"";"";"";"";"0";"CHEMBL2014375";"Inhibition of human recombinant aromatase expressed in baculovirus/insect cells using 7-methoxy-trifluoromethylcoumarin as substrate after 30 mins by fluorescence-based spectrophotometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010679";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";""
"CHEMBL2011190";"";"None";"280.37";"0";"4.34";"4d";"CC(C)(C)c1ccc2c(c1)C(=O)C(c1ccccc1)CO2";"IC50";"'='";"61000.0";"nM";"4.21";"";"";"UO_0000065";"15.03";"0.27";"-0.13";"16.03";"0";"CHEMBL2014375";"Inhibition of human recombinant aromatase expressed in baculovirus/insect cells using 7-methoxy-trifluoromethylcoumarin as substrate after 30 mins by fluorescence-based spectrophotometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010679";"1";"Scientific Literature";"Bioorg Med Chem";"2012";"None";"";"";""
"CHEMBL3752166";"";"None";"400.57";"1";"5.56";"250a";"CN1N=C2[C@H](C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4CC[C@]23C)[C@H]1c1ccccc1";"IC50";"'='";"1820.0";"nM";"5.74";"";"";"UO_0000065";"14.33";"0.26";"0.18";"17.57";"0";"CHEMBL3757117";"Inhibition of human aromatase after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3751755";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";""
"CHEMBL91992";"";"None";"251.28";"0";"3.00";"6";"O=C1/C(=C/c2ccncc2)CCc2cc(O)ccc21";"IC50";"'='";"8600.0";"nM";"5.07";"";"";"UO_0000065";"20.16";"0.36";"2.07";"10.09";"0";"CHEMBL645588";"In vitro inhibitory concentration against Aromatase was determined using [1-beta,2beta-3H]testosterone as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125863";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";""
"CHEMBL2011433";"";"None";"291.38";"0";"4.21";"38";"c1ccc2c(-c3ccc(Cn4ccnc4)cn3)csc2c1";"Inhibition";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2015360";"Inhibition of human recombinant CYP19 expressed in Escherichia coli using [1beta-3H]androstenedione as substrate at 0.5 uM";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010745";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";""
"CHEMBL2333335";"";"None";"360.41";"0";"4.51";"1n";"O=c1c2ccccc2oc2c(OC3CCCC3)ccc(Cn3ccnc3)c12";"IC50";"'='";"260.0";"nM";"6.58";"";"";"UO_0000065";"18.27";"0.33";"2.08";"11.50";"0";"CHEMBL2340950";"Inhibition of human placental CYP19 using [1beta-3H]androstenedione as substrate by 3H2O-method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331307";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";""
"CHEMBL2333327";"";"None";"402.19";"0";"3.80";"1f";"O=c1c2ccccc2oc2c(I)ccc(Cn3ccnc3)c12";"IC50";"'='";"460.0";"nM";"6.34";"";"";"UO_0000065";"15.76";"0.39";"2.54";"13.19";"0";"CHEMBL2340950";"Inhibition of human placental CYP19 using [1beta-3H]androstenedione as substrate by 3H2O-method";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331307";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";""
"CHEMBL4162549";"";"None";"338.80";"0";"4.14";"8r";"COc1ccc2c(Cn3cncn3)c(-c3ccc(Cl)cc3)[nH]c2c1";"IC50";"'='";"7772.0";"nM";"5.11";"";"";"UO_0000065";"15.08";"0.29";"0.97";"9.17";"0";"CHEMBL4143196";"Inhibition of human aromatase using androstenedione as substrate and NADPH preincubated for 24 hrs followed by substrate addition measured after 24 hrs by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138218";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";"";"";""
"CHEMBL4162931";"";"None";"336.33";"0";"3.34";"8s";"Fc1ccc(-c2[nH]c3cc4c(cc3c2Cn2cncn2)OCO4)cc1";"IC50";"'='";"58.3";"nM";"7.23";"";"";"UO_0000065";"21.51";"0.40";"3.89";"11.14";"0";"CHEMBL4143196";"Inhibition of human aromatase using androstenedione as substrate and NADPH preincubated for 24 hrs followed by substrate addition measured after 24 hrs by ELISA";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4138218";"1";"Scientific Literature";"Eur J Med Chem";"2018";"None";"";"";""
"CHEMBL2336847";"";"None";"303.37";"0";"3.88";"10k";"COc1ccc2cc(Cn3ccnc3)n(-c3ccccc3)c2c1";"Ratio IC50";"'='";"2.658";"";"";"";"";"";"";"";"";"";"0";"CHEMBL2344742";"Ratio of letrozole IC50 to compound IC50 for human placental microsome aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2331099";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";""
"CHEMBL3622058";"";"None";"430.52";"0";"2.18";"117";"N#Cc1ccc(N(CCCSc2ccc(OS(N)(=O)=O)cc2)n2cnnc2)cc1";"IC50";"'='";"0.51";"nM";"9.29";"";"";"UO_0000065";"21.58";"0.44";"7.11";"7.31";"0";"CHEMBL3627341";"Inhibition of aromatase (unknown origin) expressed in JEG-3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621110";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3308202";"";"";""
"CHEMBL3622069";"";"None";"334.45";"0";"4.28";"131";"CC(C)(C#N)c1cc(Cn2cncn2)cc(Sc2ccccc2)c1";"IC50";"'='";"2.3";"nM";"8.64";"";"";"UO_0000065";"25.83";"0.49";"4.36";"15.85";"0";"CHEMBL3627343";"Inhibition of aromatase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621110";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
"CHEMBL3622073";"";"None";"441.54";"0";"3.01";"135";"N#CC1(c2cc(Cn3cncn3)cc(Sc3ccc(OS(N)(=O)=O)cc3)c2)CCC1";"IC50";"'='";"20.7";"nM";"7.68";"";"";"UO_0000065";"17.40";"0.35";"4.67";"6.20";"0";"CHEMBL3627343";"Inhibition of aromatase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621110";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";""
"CHEMBL3622055";"";"None";"371.85";"0";"3.57";"114";"N#Cc1ccc(N(CCSc2ccc(O)c(Cl)c2)n2cnnc2)cc1";"IC50";"'='";"0.26";"nM";"9.59";"";"";"UO_0000065";"25.78";"0.52";"6.02";"12.29";"0";"CHEMBL3627341";"Inhibition of aromatase (unknown origin) expressed in JEG-3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621110";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3308202";"";"";""
"CHEMBL165925";"";"None";"328.45";"0";"4.02";"39";"COCC[C@]12CCC(=O)C=C1CCC1C2=CC[C@]2(C)C(=O)CCC12";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"15.22";"0.28";"0.98";"11.53";"0";"CHEMBL661698";"In vitro inhibition to cytochrome P450 19A1 assayed using human placental microsomes";"B";"BAO_0000019";"assay format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129479";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL166037";"";"None";"300.40";"0";"3.75";"17";"CC12CCC3C(C=CC4=C(O)C(=O)CCC43C)C1CCC2=O";"Inhibition";"'='";"8.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL657135";"Percent inhibition of human placental Cytochrome P450 19A1 at 1:1 inhibitor: androstenedione (0.7 uM) ratio";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1123074";"1";"Scientific Literature";"J Med Chem";"1985";"None";"";"";""
"CHEMBL2112309";"";"None";"310.43";"0";"4.95";"19";"C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C(F)F)[C@@H]1CC[C@@H]2O";"IC50";"'='";"26000.0";"nM";"4.58";"";"";"UO_0000065";"14.77";"0.28";"-0.36";"22.66";"0";"CHEMBL666801";"Inhibition of 1 uM [1-beta-3H]-androstenedione binding to human placental microsome Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125884";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";""
"CHEMBL4213427";"";"None";"208.26";"0";"3.42";"19";"Nc1cccc(-c2cc3ccccc3[nH]2)c1";"Inhibition";"'='";"26.74";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4186377";"Inhibition of CYP19A1 (unknown origin) at 50 uM preincubated with NADPH followed by DBF substrate addition after 30 mins by fluorescence based assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4184169";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL1424243";"";"None";"227.69";"0";"4.49";"SID17402873";"Clc1ccc2[nH]c(-c3ccccc3)cc2c1";"Inhibition";"'='";"70.53";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL4186377";"Inhibition of CYP19A1 (unknown origin) at 50 uM preincubated with NADPH followed by DBF substrate addition after 30 mins by fluorescence based assay relative to control";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4184169";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";""
"CHEMBL3287170";"";"None";"252.32";"0";"3.05";"4";"CCC(=O)N1CCc2cc(-c3cccnc3)ccc21";"Inhibition";"'<'";"7.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3293053";"Inhibition of CYP19 in human placental microsomes at 500 nM using [1beta-3H]androstenedione as substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286158";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL3287181";"";"None";"316.40";"0";"4.45";"16";"CC(C)C(=O)N1CCc2cc(-c3cncc4ccccc34)ccc21";"Inhibition";"'<'";"7.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL3293053";"Inhibition of CYP19 in human placental microsomes at 500 nM using [1beta-3H]androstenedione as substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3286158";"1";"Scientific Literature";"J Med Chem";"2014";"None";"";"";""
"CHEMBL73368";"";"None";"386.66";"1";"7.68";"14e";"CCCCCCCC[C@H]1CC2C(CCC3(C)C(O)CCC23)C2(C)CCCC=C12";"IC50";"'>'";"50.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL661696";"In vitro inhibition of cytochrome P450 19A1 in human placental microsomes";"B";"BAO_0000251";"microsome format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129695";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";""
"CHEMBL93828";"";"None";"253.30";"0";"2.78";"12";"O=C1c2cccc(O)c2CCC1Cc1ccncc1";"IC50";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"26.45";"0.48";"3.92";"13.35";"0";"CHEMBL645588";"In vitro inhibitory concentration against Aromatase was determined using [1-beta,2beta-3H]testosterone as radioligand";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125863";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";""
"CHEMBL468419";"FADROZOLE HYDROCHLORIDE";"-1.0";"259.74";"0";"2.68";"26a";"Cl.N#Cc1ccc(C2CCCc3cncn32)cc1";"Inhibition";"'='";"33.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL657140";"In vitro inhibition of placental cytochrome P450 19A1 at 0.1 uM/kg";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125250";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";""
"CHEMBL2011242";"";"None";"238.09";"0";"2.09";"5";"Brc1ncccc1Cn1ccnc1";"Inhibition";"'<'";"10.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL2015360";"Inhibition of human recombinant CYP19 expressed in Escherichia coli using [1beta-3H]androstenedione as substrate at 0.5 uM";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2010745";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"None";"";"";""
"CHEMBL25735";"";"None";"274.36";"0";"2.52";"34";"CCCCCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"21.45";"0.40";"3.37";"8.15";"1";"CHEMBL4398430";"Inhibition of human placental microsome aromatase using [1beta,2beta3H]-]testosterone as substrate measured up to 21 mins in presence of NADPH by liquid scintillation spectrometer method";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4396892";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
"CHEMBL131921";"BIOCHANIN";"None";"284.27";"0";"2.88";"44";"COc1ccc(-c2coc3cc(O)cc(O)c3c2=O)cc1";"Ki";"'='";"12000.0";"nM";"4.92";"";"";"UO_0000065";"17.31";"0.32";"2.04";"6.16";"1";"CHEMBL4398433";"Inhibition of human placental microsome aromatase using [1beta,2beta3H]androstenedione as substrate after 15 mins in presence of NADPH by liquid scintillation counting method";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsome";"";"";"";"CHEMBL1978";"Cytochrome P450 19A1";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4396892";"1";"Scientific Literature";"Eur J Med Chem";"2019";"None";"";"";""
