Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Gary Clark,SF,26,DEN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
Gary Clark,PF,26,PHI,2,0,6.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.5,0.0,0.0,0.5,0.0
Brandon Clarke,PF,24,MEM,59,16,24.0,4.3,8.4,.517,0.3,1.3,.260,4.0,7.1,.565,.537,1.3,1.9,.690,1.6,3.9,5.6,1.6,1.0,0.9,0.6,1.4,10.3
Jordan Clarkson,SG,28,UTA,68,1,26.7,6.7,15.8,.425,3.1,8.8,.347,3.7,7.0,.523,.522,1.9,2.1,.896,0.7,3.3,4.0,2.5,0.9,0.1,1.7,1.6,18.4
Nic Claxton,C,21,BRK,32,1,18.6,2.8,4.5,.621,0.0,0.2,.200,2.8,4.4,.636,.624,1.0,2.0,.484,1.3,3.8,5.2,0.9,0.7,1.3,0.6,2.1,6.6
Amir Coffey,SG,23,LAC,44,1,9.0,1.0,2.3,.437,0.5,1.3,.411,0.5,1.1,.468,.549,0.6,0.9,.711,0.2,0.8,1.0,0.5,0.2,0.0,0.3,0.7,3.2
John Collins,PF,23,ATL,63,63,29.3,6.8,12.2,.556,1.3,3.3,.399,5.5,8.9,.615,.610,2.7,3.2,.833,1.9,5.5,7.4,1.2,0.5,1.0,1.3,3.1,17.6
Mike Conley,PG,33,UTA,51,51,29.4,5.6,12.5,.444,2.7,6.6,.412,2.9,6.0,.479,.552,2.4,2.8,.852,0.7,2.8,3.5,6.0,1.4,0.2,1.9,1.9,16.2
Pat Connaughton,SG,28,MIL,69,4,22.8,2.4,5.6,.434,1.5,3.9,.371,1.0,1.7,.583,.565,0.4,0.6,.775,0.9,3.9,4.8,1.2,0.7,0.3,0.5,1.4,6.8
Quinn Cook,PG,27,TOT,23,0,6.8,1.3,3.0,.426,0.5,1.1,.423,0.8,1.8,.429,.507,0.3,0.3,.875,0.1,0.7,0.7,0.8,0.2,0.0,0.3,0.4,3.3
Quinn Cook,PG,27,LAL,16,0,3.9,0.8,1.6,.462,0.3,0.8,.385,0.4,0.8,.538,.558,0.3,0.3,.800,0.0,0.3,0.3,0.3,0.1,0.1,0.2,0.1,2.1
Quinn Cook,PG,27,CLE,7,0,13.6,2.4,6.0,.405,0.9,1.9,.462,1.6,4.1,.379,.476,0.4,0.4,1.000,0.3,1.4,1.7,1.9,0.4,0.0,0.6,1.1,6.1
Tyler Cook,SF-PF,23,TOT,32,1,13.7,2.2,3.2,.670,0.0,0.1,.500,2.1,3.2,.673,.675,0.5,1.1,.486,0.9,2.1,3.0,0.5,0.3,0.1,0.7,1.1,4.9
Tyler Cook,PF,23,BRK,4,0,4.3,0.3,0.8,.333,0.0,0.0,,0.3,0.8,.333,.333,0.0,0.0,,0.3,0.3,0.5,0.5,0.0,0.0,0.3,0.5,0.5
Tyler Cook,SF,23,DET,28,1,15.0,2.4,3.6,.680,0.0,0.1,.500,2.4,3.5,.684,.685,0.6,1.3,.486,1.0,2.4,3.3,0.5,0.3,0.1,0.7,1.2,5.5
DeMarcus Cousins,C,30,TOT,41,11,17.4,3.2,7.4,.426,1.1,3.3,.348,2.0,4.1,.488,.503,1.4,2.0,.728,1.3,5.1,6.4,1.9,0.8,0.6,1.6,2.6,8.9
DeMarcus Cousins,C,30,HOU,25,11,20.2,3.2,8.4,.376,1.6,4.6,.336,1.6,3.8,.426,.469,1.8,2.4,.746,1.2,6.4,7.6,2.4,0.8,0.7,1.6,3.0,9.6
DeMarcus Cousins,C,30,LAC,16,0,12.9,3.2,5.9,.537,0.5,1.2,.421,2.7,4.8,.566,.579,0.9,1.4,.682,1.4,3.1,4.5,1.0,0.8,0.4,1.6,2.1,7.8
Robert Covington,PF,30,POR,70,70,32.0,2.9,7.3,.401,1.9,5.1,.379,1.0,2.2,.451,.533,0.7,0.9,.806,0.9,5.8,6.7,1.7,1.4,1.2,0.9,2.8,8.5
Torrey Craig,SF,30,TOT,50,8,16.1,2.2,4.5,.480,0.8,2.1,.368,1.4,2.4,.579,.566,0.3,0.4,.773,1.1,2.8,3.9,1.0,0.6,0.5,0.5,1.7,5.5
Torrey Craig,SF,30,MIL,18,0,11.2,1.0,2.6,.391,0.4,1.2,.364,0.6,1.3,.417,.478,0.1,0.1,.500,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
Torrey Craig,SF,30,PHO,32,8,18.8,2.8,5.7,.503,1.0,2.6,.369,1.9,3.0,.619,.588,0.5,0.6,.800,1.4,3.4,4.8,1.0,0.6,0.6,0.6,1.8,7.2
Jae Crowder,PF,30,PHO,60,42,27.5,3.3,8.2,.404,2.5,6.3,.389,0.9,1.9,.455,.555,1.0,1.3,.760,0.5,4.2,4.7,2.1,0.8,0.5,0.9,2.1,10.1
Jarrett Culver,SG,21,MIN,34,7,14.7,2.0,4.9,.411,0.4,1.6,.245,1.6,3.4,.487,.449,0.9,1.4,.604,1.0,2.1,3.1,0.7,0.5,0.3,0.8,1.7,5.3
Seth Curry,SG,30,PHI,57,57,28.7,4.5,9.7,.467,2.2,4.9,.450,2.3,4.8,.485,.582,1.2,1.4,.896,0.2,2.2,2.4,2.7,0.8,0.1,1.1,1.7,12.5
Stephen Curry,PG,32,GSW,63,63,34.2,10.4,21.7,.482,5.3,12.7,.421,5.1,9.0,.569,.605,5.7,6.3,.916,0.5,5.0,5.5,5.8,1.2,0.1,3.4,1.9,32.0
Nate Darling,SG,22,CHO,7,0,3.7,0.3,1.0,.286,0.3,1.0,.286,0.0,0.0,,.429,0.4,0.4,1.000,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,1.3
Anthony Davis,PF,27,LAL,36,36,32.3,8.4,17.0,.491,0.7,2.8,.260,7.6,14.3,.536,.512,4.4,5.9,.738,1.7,6.2,7.9,3.1,1.3,1.6,2.1,1.7,21.8
Ed Davis,C,31,MIN,23,7,13.0,0.8,1.9,.432,0.0,0.0,,0.8,1.9,.432,.432,0.4,0.5,.833,2.0,3.0,5.0,0.9,0.6,0.6,0.3,2.4,2.1
Terence Davis,SG,23,TOT,61,4,17.6,3.2,7.5,.428,1.6,4.4,.367,1.6,3.1,.513,.535,0.7,0.9,.818,0.3,2.2,2.5,1.4,0.7,0.2,1.0,1.6,8.7
Terence Davis,SG,23,TOR,34,4,14.5,2.6,6.2,.414,1.3,3.6,.361,1.3,2.6,.489,.519,0.5,0.5,.889,0.3,1.7,1.9,1.1,0.5,0.2,0.9,1.4,6.9
Terence Davis,SG,23,SAC,27,0,21.5,4.0,9.1,.439,2.0,5.4,.372,2.0,3.7,.535,.549,1.1,1.4,.784,0.4,2.9,3.3,1.7,1.0,0.3,1.3,1.8,11.1
Gabriel Deck,PF,25,OKC,10,0,21.2,3.2,6.7,.478,0.2,1.5,.133,3.0,5.2,.577,.493,1.8,2.2,.818,1.6,2.4,4.0,2.4,0.8,0.0,0.6,0.9,8.4
Dewayne Dedmon,C,31,MIA,16,0,13.1,2.9,4.1,.708,0.1,0.3,.200,2.8,3.8,.750,.715,1.3,1.7,.741,1.8,3.6,5.4,0.8,0.6,0.4,0.8,2.3,7.1
Matthew Dellavedova,PG,30,CLE,13,1,17.2,1.1,4.3,.250,0.3,1.9,.160,0.8,2.4,.323,.286,0.3,0.3,1.000,0.5,1.4,1.8,4.5,0.3,0.1,0.5,1.6,2.8
DeMar DeRozan,PF,31,SAS,61,61,33.7,7.5,15.1,.495,0.3,1.2,.257,7.1,13.9,.515,.505,6.3,7.2,.880,0.7,3.6,4.2,6.9,0.9,0.2,2.0,2.1,21.6
Mamadi Diakite,PF,24,MIL,14,1,10.1,1.1,2.9,.400,0.1,0.6,.125,1.1,2.3,.469,.413,0.8,1.0,.786,0.6,1.9,2.4,0.6,0.5,0.4,0.2,1.1,3.1
Hamidou Diallo,SG-SF,22,TOT,52,9,23.6,4.3,9.0,.477,0.5,1.6,.341,3.8,7.5,.505,.506,2.5,3.8,.640,1.1,4.1,5.2,1.9,0.8,0.5,1.5,2.6,11.6
Hamidou Diallo,SG,22,OKC,32,5,23.8,4.5,9.3,.481,0.4,1.3,.293,4.1,8.0,.512,.502,2.6,4.1,.629,1.2,4.0,5.2,2.4,1.0,0.4,1.5,2.6,11.9
Hamidou Diallo,SF,22,DET,20,4,23.3,4.1,8.7,.468,0.8,2.1,.390,3.3,6.6,.492,.514,2.3,3.4,.662,1.1,4.3,5.4,1.2,0.5,0.6,1.4,2.6,11.2
Gorgui Dieng,C,31,TOT,38,1,14.5,2.2,4.3,.521,0.8,1.8,.429,1.4,2.4,.591,.613,1.5,1.8,.866,1.1,2.6,3.7,1.3,0.7,0.4,0.8,1.5,6.8
Gorgui Dieng,C,31,MEM,22,1,16.9,2.5,4.9,.519,1.0,2.2,.479,1.5,2.7,.550,.625,1.7,2.0,.884,1.3,3.2,4.5,1.3,0.8,0.6,1.0,1.7,7.9
Gorgui Dieng,C,31,SAS,16,0,11.3,1.8,3.4,.527,0.4,1.4,.318,1.4,2.1,.667,.591,1.3,1.5,.833,0.8,1.9,2.6,1.2,0.6,0.1,0.6,1.1,5.3
Spencer Dinwiddie,SG,27,BRK,3,3,21.3,2.0,5.3,.375,0.7,2.3,.286,1.3,3.0,.444,.438,2.0,2.0,1.000,0.0,4.3,4.3,3.0,0.7,0.3,1.7,1.3,6.7
Donte DiVincenzo,SG,24,MIL,66,66,27.5,3.8,9.1,.420,2.0,5.2,.379,1.8,3.9,.475,.528,0.8,1.1,.718,1.2,4.5,5.8,3.1,1.1,0.2,1.4,1.7,10.4
Luka Dončić,PG,21,DAL,66,66,34.3,9.8,20.5,.479,2.9,8.3,.350,6.9,12.2,.567,.550,5.2,7.1,.730,0.8,7.2,8.0,8.6,1.0,0.5,4.3,2.3,27.7
Luguentz Dort,SG,21,OKC,52,52,29.7,4.8,12.3,.387,2.2,6.3,.343,2.6,6.0,.432,.475,2.3,3.2,.744,0.7,2.9,3.6,1.7,0.9,0.4,1.5,2.6,14.0
Damyean Dotson,SG,26,CLE,46,7,19.7,2.6,6.4,.406,1.0,3.5,.289,1.6,2.9,.545,.485,0.5,0.8,.667,0.1,1.9,2.0,2.0,0.3,0.1,0.9,0.9,6.7
Devon Dotson,PG,21,CHI,11,0,4.5,1.0,1.9,.524,0.1,0.6,.143,0.9,1.3,.714,.548,0.0,0.0,,0.2,0.3,0.5,0.6,0.4,0.0,0.0,0.3,2.1
Sekou Doumbouya,PF,20,DET,56,11,15.5,1.9,5.0,.379,0.5,2.1,.226,1.4,3.0,.485,.426,0.8,1.1,.703,0.7,1.9,2.6,0.8,0.4,0.2,0.8,1.7,5.1
PJ Dozier,SG,24,DEN,50,6,21.8,3.0,7.1,.417,0.9,3.0,.315,2.0,4.1,.490,.483,0.8,1.3,.636,0.7,2.9,3.6,1.8,0.6,0.4,0.9,1.7,7.7
Goran Dragić,PG,34,MIA,50,11,26.7,4.8,11.1,.432,1.8,4.9,.373,3.0,6.2,.479,.514,2.0,2.4,.828,0.5,2.9,3.4,4.4,0.7,0.2,2.4,2.3,13.4
Andre Drummond,C,27,TOT,46,46,27.0,6.1,12.4,.493,0.0,0.2,.000,6.1,12.3,.500,.493,2.7,4.5,.600,3.6,8.4,12.0,2.0,1.4,1.1,2.7,3.2,14.9
Andre Drummond,C,27,CLE,25,25,28.9,7.2,15.2,.474,0.0,0.3,.000,7.2,14.9,.484,.474,3.1,5.2,.597,4.0,9.4,13.5,2.6,1.6,1.2,3.2,2.8,17.5
Andre Drummond,C,27,LAL,21,21,24.8,4.9,9.1,.531,0.0,0.0,,4.9,9.1,.531,.531,2.2,3.6,.605,3.1,7.1,10.2,1.4,1.1,1.0,2.0,3.8,11.9
Jared Dudley,PF,35,LAL,12,0,6.8,0.2,0.8,.222,0.2,0.5,.333,0.0,0.3,.000,.333,0.0,0.0,,0.3,1.4,1.8,0.4,0.1,0.1,0.2,0.6,0.5
Kris Dunn,PG,26,ATL,4,0,11.3,0.3,3.0,.083,0.0,0.5,.000,0.3,2.5,.100,.083,0.8,1.0,.750,0.0,1.5,1.5,0.5,0.5,0.5,0.8,2.5,1.3
Kevin Durant,PF,32,BRK,35,32,33.1,9.3,17.2,.537,2.4,5.4,.450,6.8,11.8,.577,.608,6.0,6.8,.882,0.4,6.7,7.1,5.6,0.7,1.3,3.4,2.0,26.9
Anthony Edwards,SG,19,MIN,72,55,32.1,7.0,16.8,.417,2.4,7.2,.329,4.6,9.6,.483,.488,2.9,3.8,.776,0.8,3.8,4.7,2.9,1.1,0.5,2.2,1.8,19.3
Carsen Edwards,SG,22,BOS,31,1,8.9,1.5,3.6,.423,0.6,2.0,.286,0.9,1.5,.604,.505,0.4,0.4,.846,0.1,0.7,0.8,0.5,0.2,0.0,0.2,0.8,4.0
CJ Elleby,SF,20,POR,30,0,6.4,0.8,2.2,.379,0.2,1.1,.206,0.6,1.1,.563,.432,0.4,0.5,.733,0.4,0.7,1.1,0.3,0.2,0.1,0.2,0.9,2.3
Henry Ellenson,PF,24,TOR,2,0,19.0,2.5,7.0,.357,1.0,4.5,.222,1.5,2.5,.600,.429,1.5,2.0,.750,1.5,4.5,6.0,2.5,0.0,0.0,0.0,3.5,7.5
Wayne Ellington,SG,33,DET,46,31,22.0,3.2,7.3,.441,2.5,6.0,.422,0.7,1.4,.524,.612,0.6,0.8,.800,0.3,1.6,1.8,1.5,0.4,0.2,0.7,1.3,9.6
Joel Embiid,C,26,PHI,51,51,31.1,9.0,17.6,.513,1.1,3.0,.377,7.9,14.6,.541,.545,9.2,10.7,.859,2.2,8.4,10.6,2.8,1.0,1.4,3.1,2.4,28.5
James Ennis III,SF,30,ORL,41,37,24.0,2.8,5.9,.473,1.1,2.5,.433,1.7,3.4,.504,.566,1.7,2.1,.805,1.0,3.0,4.0,1.5,0.8,0.2,0.9,2.0,8.4
Drew Eubanks,C,23,SAS,54,3,14.0,2.1,3.8,.566,0.0,0.0,1.000,2.1,3.8,.562,.571,1.4,2.0,.726,1.4,3.1,4.5,0.8,0.3,0.9,0.8,1.6,5.8
Dante Exum,SG,25,CLE,6,3,19.3,1.7,4.3,.385,0.3,1.8,.182,1.3,2.5,.533,.423,0.2,0.3,.500,0.3,2.5,2.8,2.2,0.7,0.3,1.2,1.5,3.8
Tacko Fall,C,25,BOS,19,0,7.2,1.1,1.5,.724,0.0,0.0,,1.1,1.5,.724,.724,0.3,0.8,.333,0.8,1.9,2.7,0.2,0.1,1.1,0.3,1.2,2.5
Derrick Favors,C,29,UTA,68,0,15.3,2.3,3.6,.638,0.0,0.0,.000,2.3,3.5,.643,.638,0.9,1.2,.738,2.0,3.5,5.5,0.6,0.5,1.0,0.5,2.1,5.4
Cristiano Felício,C,28,CHI,18,0,4.7,0.4,0.7,.538,0.0,0.1,.000,0.4,0.6,.636,.538,0.5,0.9,.563,0.6,0.9,1.4,0.5,0.2,0.0,0.2,0.6,1.3
Terrance Ferguson,SG,22,PHI,13,0,3.8,0.1,0.5,.143,0.0,0.4,.000,0.1,0.2,.500,.143,0.0,0.0,,0.0,0.1,0.1,0.2,0.1,0.0,0.3,0.5,0.2
Bruno Fernando,C,22,ATL,33,0,6.8,0.5,1.3,.409,0.0,0.1,.000,0.5,1.3,.429,.409,0.5,0.7,.682,0.5,1.9,2.4,0.3,0.1,0.1,0.6,0.7,1.5
Yogi Ferrell,PG,27,TOT,10,0,13.6,2.0,5.7,.351,0.9,2.8,.321,1.1,2.9,.379,.430,0.7,0.9,.778,0.5,1.4,1.9,2.2,0.7,0.3,0.3,1.1,5.6
Yogi Ferrell,PG,27,CLE,2,0,20.0,4.0,10.5,.381,1.5,4.5,.333,2.5,6.0,.417,.452,0.0,1.0,.000,1.5,2.0,3.5,2.5,1.5,0.5,1.5,2.0,9.5
Yogi Ferrell,PG,27,LAC,8,0,12.0,1.5,4.5,.333,0.8,2.4,.316,0.8,2.1,.353,.417,0.9,0.9,1.000,0.3,1.3,1.5,2.1,0.5,0.3,0.0,0.9,4.6
Dorian Finney-Smith,PF,27,DAL,60,60,32.0,3.7,7.8,.472,2.0,5.0,.394,1.7,2.7,.616,.600,0.5,0.7,.756,1.6,3.8,5.4,1.7,0.9,0.4,0.8,2.3,9.8
Malik Fitts,PF,23,LAC,3,0,3.7,0.3,1.0,.333,0.3,0.7,.500,0.0,0.3,.000,.500,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Malachi Flynn,PG,22,TOR,47,14,19.7,2.7,7.2,.374,1.1,3.6,.321,1.6,3.7,.424,.453,1.0,1.2,.804,0.2,2.3,2.5,2.9,0.8,0.1,0.9,1.4,7.5
Bryn Forbes,SG,27,MIL,70,10,19.3,3.6,7.6,.473,2.2,4.9,.452,1.4,2.7,.511,.618,0.7,0.9,.770,0.2,1.4,1.6,0.6,0.3,0.0,0.6,1.1,10.0
Trent Forrest,PG,22,UTA,30,0,10.1,1.1,2.4,.451,0.2,0.9,.192,0.9,1.5,.600,.486,0.6,0.6,1.000,0.4,1.1,1.5,1.5,0.3,0.1,0.7,0.7,2.9
Evan Fournier,SF-SG,28,TOT,42,36,30.0,5.9,12.9,.457,2.8,6.7,.413,3.1,6.1,.504,.565,2.6,3.3,.788,0.2,2.8,3.0,3.4,1.1,0.5,1.7,2.3,17.1
Evan Fournier,SF,28,ORL,26,26,30.3,6.5,14.2,.461,2.8,7.2,.388,3.7,7.0,.536,.560,3.8,4.7,.797,0.2,2.7,2.9,3.7,1.0,0.3,2.1,2.1,19.7
Evan Fournier,SG,28,BOS,16,10,29.5,4.8,10.8,.448,2.8,5.9,.463,2.1,4.8,.429,.576,0.6,0.9,.714,0.3,3.0,3.3,3.1,1.3,0.6,1.2,2.6,13.0
De'Aaron Fox,PG,23,SAC,58,58,35.1,9.1,19.1,.477,1.8,5.5,.322,7.3,13.6,.539,.523,5.2,7.2,.719,0.6,2.9,3.5,7.2,1.5,0.5,3.0,2.9,25.2
Robert Franks,PF,24,ORL,7,0,14.4,1.9,4.0,.464,0.7,2.1,.333,1.1,1.9,.615,.554,1.7,1.9,.923,0.9,1.1,2.0,0.7,0.4,0.4,0.3,1.1,6.1
Tim Frazier,PG,30,MEM,5,0,12.4,0.6,4.0,.150,0.0,1.6,.000,0.6,2.4,.250,.150,0.4,1.2,.333,0.0,1.6,1.6,3.2,0.4,0.2,0.8,1.4,1.6
Enes Freedom,C,28,POR,72,35,24.4,4.7,7.8,.604,0.0,0.1,.250,4.7,7.7,.607,.605,1.8,2.3,.774,3.9,7.1,11.0,1.2,0.5,0.7,1.1,2.3,11.2
Markelle Fultz,PG,22,ORL,8,8,26.9,5.1,13.0,.394,0.5,2.0,.250,4.6,11.0,.420,.413,2.1,2.4,.895,0.6,2.5,3.1,5.4,1.0,0.3,2.3,2.3,12.9
Wenyen Gabriel,PF,23,NOP,21,0,11.5,1.1,2.9,.400,0.6,1.5,.406,0.5,1.3,.393,.508,0.5,0.8,.647,1.0,1.6,2.6,0.5,0.4,0.4,0.7,1.5,3.4
Daniel Gafford,PF-C,22,TOT,54,11,14.6,2.9,4.2,.684,0.0,0.0,,2.9,4.2,.684,.684,1.3,2.0,.667,1.7,2.5,4.3,0.5,0.5,1.4,0.8,1.8,7.0
Daniel Gafford,PF,22,CHI,31,11,12.4,1.9,2.8,.690,0.0,0.0,,1.9,2.8,.690,.690,0.9,1.3,.659,1.4,1.9,3.3,0.5,0.4,1.1,0.7,1.7,4.7
Daniel Gafford,C,22,WAS,23,0,17.7,4.1,6.0,.681,0.0,0.0,,4.1,6.0,.681,.681,2.0,2.9,.672,2.2,3.4,5.6,0.5,0.7,1.8,0.8,1.9,10.1
Danilo Gallinari,PF,32,ATL,51,4,24.0,4.0,9.3,.434,2.0,5.0,.406,2.0,4.3,.466,.542,3.2,3.4,.925,0.3,3.8,4.1,1.5,0.6,0.2,0.8,2.1,13.3
Langston Galloway,SG,29,PHO,40,0,11.0,1.7,3.7,.449,0.9,2.1,.424,0.8,1.6,.484,.571,0.6,0.6,.957,0.2,0.9,1.1,0.7,0.2,0.0,0.3,0.6,4.8
Darius Garland,PG,21,CLE,54,50,33.1,6.7,14.9,.451,1.9,4.9,.395,4.8,9.9,.479,.517,2.1,2.4,.848,0.4,2.0,2.4,6.1,1.2,0.1,3.0,2.0,17.4
Marc Gasol,C,36,LAL,52,42,19.1,1.7,3.7,.454,1.0,2.3,.410,0.7,1.4,.528,.582,0.7,1.0,.720,0.7,3.4,4.1,2.1,0.5,1.1,1.0,2.2,5.0
Rudy Gay,PF,34,SAS,63,1,21.6,4.2,10.0,.420,1.7,4.4,.381,2.5,5.6,.451,.505,1.3,1.6,.804,0.7,4.1,4.8,1.4,0.7,0.6,1.0,1.8,11.4
Paul George,SF,30,LAC,54,54,33.7,8.2,17.6,.467,3.2,7.7,.411,5.1,9.9,.510,.557,3.7,4.2,.868,0.8,5.8,6.6,5.2,1.1,0.4,3.3,2.4,23.3
Taj Gibson,C,35,NYK,45,3,20.8,2.2,3.5,.627,0.1,0.3,.200,2.1,3.2,.671,.636,0.9,1.2,.727,2.2,3.4,5.6,0.8,0.7,1.1,0.5,2.2,5.4
Harry Giles,C,22,POR,38,0,9.2,1.1,2.6,.433,0.2,0.6,.348,0.9,1.9,.459,.474,0.4,0.7,.593,0.8,2.7,3.5,0.8,0.2,0.3,0.5,1.4,2.8
Shai Gilgeous-Alexander,SG,22,OKC,35,35,33.7,8.2,16.1,.508,2.0,4.9,.418,6.2,11.3,.547,.571,5.3,6.5,.808,0.5,4.2,4.7,5.9,0.8,0.7,3.0,2.0,23.7
Anthony Gill,PF,28,WAS,26,4,8.4,1.2,2.3,.500,0.3,0.9,.292,0.9,1.4,.639,.558,0.5,0.6,.813,0.6,1.3,2.0,0.4,0.4,0.2,0.3,1.0,3.1
Freddie Gillespie,PF,23,TOR,20,2,19.6,2.2,4.2,.524,0.0,0.0,,2.2,4.2,.524,.524,1.2,1.7,.697,2.1,2.8,4.9,0.5,0.7,1.0,0.6,2.2,5.6
Rudy Gobert,C,28,UTA,71,71,30.8,5.5,8.2,.675,0.0,0.1,.000,5.5,8.1,.680,.675,3.3,5.3,.623,3.4,10.1,13.5,1.3,0.6,2.7,1.7,2.3,14.3
Brandon Goodwin,PG,25,ATL,47,5,13.2,1.8,4.7,.377,0.7,2.2,.311,1.1,2.6,.433,.448,0.6,0.9,.651,0.2,1.3,1.5,2.0,0.4,0.0,0.8,0.9,4.9
Aaron Gordon,PF,25,TOT,50,50,27.7,4.6,10.0,.463,1.2,3.5,.335,3.4,6.5,.533,.522,1.9,3.0,.651,1.5,4.1,5.7,3.2,0.7,0.7,1.9,1.8,12.4
Aaron Gordon,PF,25,ORL,25,25,29.4,5.1,11.7,.437,1.7,4.5,.375,3.4,7.2,.475,.509,2.6,4.2,.629,1.6,5.1,6.6,4.2,0.6,0.8,2.7,2.0,14.6
Aaron Gordon,PF,25,DEN,25,25,25.9,4.1,8.2,.500,0.7,2.6,.266,3.4,5.7,.606,.541,1.2,1.8,.705,1.5,3.2,4.7,2.2,0.7,0.6,1.2,1.6,10.2
Eric Gordon,SG,32,HOU,27,13,29.2,5.9,13.6,.433,2.6,7.8,.329,3.3,5.8,.573,.527,3.5,4.2,.825,0.3,1.9,2.1,2.6,0.5,0.5,1.9,1.6,17.8
Devonte' Graham,PG,25,CHO,55,44,30.2,4.6,12.2,.377,3.3,8.7,.375,1.3,3.5,.380,.510,2.4,2.9,.842,0.4,2.3,2.7,5.4,0.9,0.1,1.5,1.4,14.8
Jerami Grant,SF,26,DET,54,54,33.9,7.4,17.3,.429,2.1,6.1,.350,5.3,11.2,.473,.491,5.4,6.4,.845,0.6,4.0,4.6,2.8,0.6,1.1,2.0,2.3,22.3
Danny Green,SF,33,PHI,69,69,28.0,3.2,7.9,.412,2.5,6.3,.405,0.7,1.6,.438,.573,0.4,0.6,.775,0.8,3.0,3.8,1.7,1.3,0.8,1.0,1.8,9.5
Draymond Green,PF,30,GSW,63,63,31.5,2.7,6.0,.447,0.5,2.0,.270,2.2,4.0,.535,.492,1.1,1.4,.795,0.9,6.3,7.1,8.9,1.7,0.8,3.0,3.1,7.0
JaMychal Green,PF,30,DEN,58,5,19.3,3.0,6.4,.463,1.4,3.4,.399,1.6,3.0,.534,.568,0.8,1.0,.807,1.5,3.3,4.8,0.9,0.4,0.4,0.9,2.5,8.1
Javonte Green,SF-SG,27,TOT,41,2,11.5,1.3,2.5,.520,0.2,0.7,.333,1.0,1.8,.597,.569,0.7,1.0,.750,0.6,1.1,1.7,0.4,0.7,0.1,0.5,1.1,3.6
Javonte Green,SF,27,BOS,25,2,13.8,1.6,2.8,.549,0.3,0.9,.318,1.3,2.0,.653,.599,0.8,1.2,.667,0.8,1.3,2.1,0.4,0.7,0.1,0.5,1.3,4.2
Javonte Green,SG,27,CHI,16,0,8.0,0.9,1.9,.452,0.2,0.5,.375,0.7,1.4,.478,.500,0.6,0.6,1.000,0.4,0.8,1.2,0.4,0.6,0.3,0.4,0.8,2.6
Jeff Green,C,34,BRK,68,38,27.0,3.8,7.8,.492,1.5,3.7,.412,2.3,4.1,.564,.590,1.8,2.4,.776,0.5,3.4,3.9,1.6,0.5,0.4,0.8,1.8,11.0
Josh Green,SG,20,DAL,39,5,11.4,1.1,2.4,.452,0.1,0.6,.160,1.0,1.7,.559,.473,0.3,0.6,.565,0.7,1.3,2.0,0.7,0.4,0.1,0.4,0.9,2.6
Blake Griffin,PF,31,TOT,46,30,25.8,3.8,8.9,.423,1.5,4.5,.341,2.3,4.5,.505,.509,1.9,2.5,.744,0.8,4.1,4.9,3.0,0.7,0.3,1.3,2.4,11.0
Blake Griffin,PF,31,DET,20,20,31.3,4.1,11.1,.365,2.0,6.2,.315,2.1,4.9,.429,.453,2.2,3.1,.710,0.4,4.9,5.2,3.9,0.7,0.1,1.6,2.1,12.3
Blake Griffin,PF,31,BRK,26,10,21.5,3.6,7.3,.492,1.2,3.1,.383,2.4,4.2,.574,.574,1.7,2.1,.782,1.1,3.6,4.7,2.4,0.7,0.5,1.2,2.7,10.0
Kyle Guy,PG,23,SAC,31,0,7.6,0.9,2.8,.330,0.4,1.5,.283,0.5,1.4,.381,.403,0.5,0.6,.800,0.2,1.0,1.1,1.0,0.2,0.0,0.4,0.6,2.8
Rui Hachimura,PF,22,WAS,57,57,31.5,5.4,11.4,.478,0.8,2.4,.328,4.6,9.0,.519,.513,2.2,2.8,.770,0.9,4.6,5.5,1.4,0.8,0.1,1.2,2.1,13.8
Ashton Hagans,PG,21,MIN,2,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
Tyrese Haliburton,PG,20,SAC,58,20,30.1,5.0,10.7,.472,2.1,5.1,.409,2.9,5.6,.529,.569,0.8,1.0,.857,0.7,2.3,3.0,5.3,1.3,0.5,1.6,1.4,13.0
Donta Hall,PF,23,ORL,13,0,13.8,1.9,2.7,.714,0.0,0.0,,1.9,2.7,.714,.714,1.8,2.6,.676,1.8,2.9,4.8,0.8,0.4,0.8,0.6,1.4,5.6
Josh Hall,SF,20,OKC,21,1,16.0,1.4,4.7,.303,0.2,1.8,.108,1.2,3.0,.419,.323,1.0,2.1,.500,0.3,2.5,2.8,1.3,0.2,0.0,1.2,1.8,4.1
